序号,月份,商铺号,商铺名称,水表井编号,水表规格(DN),上月读数(m³),上月用量(吨),本月读数(m³),客户签字,用量(吨),单价(元),金额(元)
1,2026-08,B1-301,盒马鲜生,B1-W01,80,94196,2654,96850,,2654,5.95,15791.3
2,2026-08,B1-301,盒马鲜生（水产加工区）,B1-W02,50,39993,1287,41280,,1287,5.95,7657.65
3,2026-08,B1-302,麦当劳,B1-W03,32,8333,402,8735,,402,5.95,2391.9
4,2026-08,B1-303,肯德基,B1-W04,32,8737,415,9152,,415,5.95,2469.25
5,2026-08,B1-304,五谷磨房,B1-W05,20,979,45,1024,,45,5.95,267.75
6,2026-08,B1-305,85度C,B1-W06,25,1921,66,1987,,66,5.95,392.7
7,2026-08,B1-306,海马体照相馆,B1-W07,20,714,29,743,,29,5.95,172.55
8,2026-08,L6-201,孩子王,6F-W01,32,6672,343,7015,,343,5.95,2040.85
9,2026-08,L6-202,反斗乐园,6F-W02,25,3004,154,3158,,154,5.95,916.3
10,2026-08,L6-203,金宝贝早教,6F-W03,25,2106,108,2214,,108,5.95,642.6
11,2026-08,L6-204,美吉姆儿童运动中心,6F-W04,25,2232,115,2347,,115,5.95,684.25
12,2026-08,L6-205,巴拉巴拉,6F-W05,20,939,48,987,,48,5.95,285.6
13,2026-08,L6-206,卡通尼乐园,6F-W06,25,2749,141,2890,,141,5.95,838.95
14,2026-08,L7-101,优衣库,7F-W01,25,3930,202,4132,,202,5.95,1201.9
15,2026-08,L7-102,ZARA,7F-W02,25,3676,189,3865,,189,5.95,1124.55
16,2026-08,L7-103,华为智能生活馆,7F-W03,32,5913,305,6218,,305,5.95,1814.75
17,2026-08,L7-104,小米之家,7F-W04,25,4365,224,4589,,224,5.95,1332.8
18,2026-08,L7-105,无印良品,7F-W05,25,3751,193,3944,,193,5.95,1148.35
19,2026-08,L7-106,迪卡侬,7F-W06,32,5588,288,5876,,288,5.95,1713.6
20,2026-08,L7-107,名创优品,7F-W07,20,1356,69,1425,,69,5.95,410.55
21,2026-08,L7-108,屈臣氏,7F-W08,25,2505,128,2633,,128,5.95,761.6
22,2026-08,L7-109,丝芙兰,7F-W09,20,1132,57,1189,,57,5.95,339.15
23,2026-08,L7-110,周大福,7F-W10,20,815,41,856,,41,5.95,243.95
24,2026-08,L8-001,海底捞火锅,8F-W01,40,11968,612,12580,,612,5.95,3641.4
25,2026-08,L8-001,海底捞火锅（后厨专表）,8F-W02,32,8205,425,8630,,425,5.95,2528.75
26,2026-08,L8-002,星巴克甄选,8F-W03,25,3059,156,3215,,156,5.95,928.2
27,2026-08,L8-003,喜茶,8F-W04,25,1948,98,2046,,98,5.95,583.1
28,2026-08,L8-004,太二酸菜鱼,8F-W05,32,9092,470,9562,,470,5.95,2796.5
29,2026-08,L8-005,西贝莜面村,8F-W06,40,10643,565,11208,,565,5.95,3361.75
30,2026-08,L8-006,哈根达斯,8F-W07,20,1496,72,1568,,72,5.95,428.4
31,2026-08,L8-007,凑凑火锅,8F-W08,40,14157,735,14892,,735,5.95,4373.25
32,2026-08,L8-008,绿茶餐厅,8F-W09,50,27268,1382,28650,,1382,5.95,8222.9
33,2026-08,L8-009,必胜客,8F-W10,32,7458,398,7856,,398,5.95,2368.1
34,2026-08,L8-010,纯K（自助餐厅）,8F-W11,32,4969,261,5230,,261,5.95,1552.95
35,2026-08,L8-010,纯K（吧台）,8F-W12,25,1797,95,1892,,95,5.95,565.25
36,2026-08,L8-011,南京大牌档,8F-W13,40,12752,668,13420,,668,5.95,3974.6
37,2026-08,L8-012,奈雪的茶,8F-W14,25,2733,141,2874,,141,5.95,838.95
38,2026-08,L8-013,捞王锅物料理,8F-W15,40,11446,587,12033,,587,5.95,3492.65
39,2026-08,L8-014,DQ冰淇淋,8F-W16,20,1188,58,1246,,58,5.95,345.1
40,2026-08,L8-015,瑞幸咖啡,8F-W17,25,2300,118,2418,,118,5.95,702.1
